rosbagTimestamp,name,pose,position,x,y,z,orientation,x,y,z,w,position,x,y,z,orientation,x,y,z,w,twist,linear,x,y,z,angular,x,y,z,linear,x,y,z,angular,x,y,z
38000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0,-2.57512779269E-20,0.2471106,,-1.07499685357E-19,-2.29697720968E-17,3.96611144753E-21,1,,,0,0,0,,0,0,0,,1.76785455311E-16,5.1901635796E-18,-0.3626,,1.50572731296E-17,-4.43409187492E-16,1.36530749529E-17
39000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0,-2.68883887319E-20,0.2467382,,-1.11122488319E-19,-2.20577676964E-17,3.43318189811E-21,1,,,0,0,0,,0,0,0,,-1.55847482339E-16,-1.137110805E-18,-0.3724,,-7.24560592424E-18,1.82400880083E-15,-1.06585909884E-18
40000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,5.97884353137E-10,-6.08239675484E-11,0.246356001273,,-4.45824324379E-10,-6.30984961842E-10,1.60687378999E-10,1,,,0,0,0,,0,0,0,,5.97884324689E-07,-6.08239673535E-08,-0.382198727355,,-8.91648648537E-07,-1.26196987957E-06,3.21374757992E-07
41000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,2.3931236437E-09,-2.21193799754E-10,0.24596400507,,-1.74459528951E-09,-2.62800434905E-09,6.51552446228E-10,1,,,0,0,0,,0,0,0,,1.79523933586E-06,-1.60369830635E-07,-0.391996202949,,-2.59754193023E-06,-3.99403877439E-06,9.81730134598E-07
42000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,5.97408336689E-09,-5.18403994218E-10,0.245562212635,,-4.29052409964E-09,-6.79437416092E-09,1.63937460069E-09,1,,,0,0,0,,0,0,0,,3.5809597042E-06,-2.97210187994E-07,-0.401792434493,,-5.09185762002E-06,-8.33273962362E-06,1.97564431008E-06
43000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,1.07338750943E-08,-9.71611814161E-10,0.245150622653,,-8.44181103305E-09,-1.27465788442E-08,3.29305961345E-09,1,,,0,0,0,,0,0,0,,4.75979171088E-06,-4.53207804756E-07,-0.41158998217,,-8.30257386979E-06,-1.19044093659E-05,3.3073700202E-06
44000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,1.6064961611E-08,-1.62607682232E-09,0.244729233834,,-1.45746266433E-08,-1.99655253411E-08,5.76092808253E-09,1,,,0,0,0,,0,0,0,,5.33108650619E-06,-6.54464980867E-07,-0.421388818692,,-1.2265631236E-05,-1.44378929926E-05,4.93573690369E-06
45000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,2.13851562292E-08,-2.52315191301E-09,0.244298044891,,-2.3043652261E-08,-2.78651956023E-08,9.17997569066E-09,1,,,0,0,0,,0,0,0,,5.32019457385E-06,-8.97075049411E-07,-0.431188943416,,-1.69380512808E-05,-1.57993405204E-05,6.83809510835E-06
46000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,2.61141307467E-08,-3.70227593077E-09,0.24385705455,,-3.41891846774E-08,-3.57763356991E-08,1.3682428014E-08,1,,,0,0,0,,0,0,0,,4.72897448664E-06,-1.17912396334E-06,-0.440990340897,,-2.22910649386E-05,-1.58222801907E-05,9.00490439008E-06
47000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,2.96681999523E-08,-5.19910854712E-09,0.243406261555,,-4.83359964352E-08,-4.29498065883E-08,1.93977211099E-08,1,,,0,0,0,,0,0,0,,3.55406918735E-06,-1.49683255372E-06,-0.450792994614,,-2.82936237281E-05,-1.43469417746E-05,1.14305856701E-05
48000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,3.26544164209E-08,-6.96109828111E-09,0.242945667213,,-6.49455378979E-08,-4.98213764059E-08,2.61084672067E-08,1,,,0,0,0,,0,0,0,,2.98621650001E-06,-1.76198966355E-06,-0.46059434209,,-3.32190832352E-05,-1.3743139631E-05,1.34214914312E-05
49000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,9.4354294195E-05,-1.80113311117E-08,0.2426565369,,-1.38361886059E-07,-0.000355607062874,1.14101695402E-07,0.999999936772,,,0,0,0,,0,0,0,,0.0780830849259,-3.44352938631E-06,-0.320729476226,,-0.000107829473651,-0.597809992962,0.00016415517848
50000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,-1.01567423726E-05,-4.40266442629E-07,0.242313133238,,-1.73854926914E-06,-0.000510602653654,9.62097976522E-07,0.99999986964,,,0,0,0,,0,0,0,,-0.0199260798444,-0.000258675884224,-0.323485380866,,-0.00174745114016,-0.453127212582,0.000845135217606
51000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,4.59717169175E-05,-1.78120586438E-07,0.242131829402,,-1.07237812725E-06,-0.000941501320128,7.27346483901E-07,0.999999556787,,,0,0,0,,0,0,0,,0.0154400102045,3.56948666728E-05,-0.257151082313,,0.000339048939553,-0.576598202926,-0.000436390647539
52000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,4.78307103621E-05,-1.79197673383E-07,0.241881499293,,-1.15554143082E-06,-0.00121475161357,7.60260913345E-07,0.999999262188,,,0,0,0,,0,0,0,,0.0201722321431,-2.80311859694E-05,-0.246480871809,,5.66681363353E-05,-0.576248089891,-0.000312088616107
53000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,8.21040450022E-05,-3.39958592249E-07,0.241659343067,,-1.16113621939E-06,-0.00150555372195,4.40436426118E-07,0.999998866653,,,0,0,0,,0,0,0,,0.0342207459376,-0.000175988291115,-0.222090932616,,-0.000104117550431,-0.581601148961,-0.000588472313327
54000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0.000115124046305,-3.70801335668E-07,0.241444636669,,-1.20218123075E-06,-0.00178855723979,4.06768737496E-07,0.999998400529,,,0,0,0,,0,0,0,,0.0445751259199,-1.20648915053E-05,-0.212010598125,,0.000105248832714,-0.585701800123,-0.000202878964389
55000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0.000173536843199,-4.4042984212E-07,0.241253846783,,-1.21881647792E-06,-0.00208409827083,2.79632396707E-07,0.999997828264,,,0,0,0,,0,0,0,,0.0582447950579,-9.66221458831E-05,-0.190643354856,,-0.000143580727063,-0.591099566266,-0.000236875529979
55000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0.000231734863653,-4.30927957768E-07,0.241071022575,,-1.2874790606E-06,-0.00237341392846,3.31383725117E-07,0.999997183448,,,0,0,0,,0,0,0,,0.0687053620412,3.57724526182E-05,-0.180369246169,,3.79789933631E-05,-0.59660759152,2.84408368452E-05
56000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0.000310586663782,-4.40591434176E-07,0.240904498734,,-1.28379298552E-06,-0.00267156517923,2.82477441943E-07,0.999996431363,,,0,0,0,,0,0,0,,0.0786883432235,-3.55508497073E-05,-0.166382694975,,-9.48841933365E-05,-0.596322123054,-8.54110975245E-05
57000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0.000391137032804,-4.3621855513E-07,0.240747813485,,-1.35356457945E-06,-0.00296552676187,3.39466469549E-07,0.999995602815,,,0,0,0,,0,0,0,,0.0882706519465,2.12177632746E-05,-0.1548799079,,-2.31240093467E-05,-0.601150973102,5.95706350256E-05
59000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0.000486688411197,-4.08554968536E-07,0.240600619262,,-1.30755930648E-06,-0.00326377890144,3.16551250218E-07,0.999994673859,,,0,0,0,,0,0,0,,0.0954205456735,9.14539931906E-06,-0.147079933256,,1.76193359519E-05,-0.596519379144,-3.50312305367E-05
60000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0.000585745076059,-4.16428924585E-07,0.240464682012,,-1.3889038082E-06,-0.00355949619451,3.6994078949E-07,0.999993664972,,,0,0,0,,0,0,0,,0.104470914983,6.74193986173E-07,-0.134668150765,,-0.000103758320255,-0.600707618586,8.03569367444E-05
60000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0.000695218321725,-3.54883637237E-07,0.24033261437,,-1.30322447097E-06,-0.00385571639869,3.70208984382E-07,0.999992566697,,,0,0,0,,0,0,0,,0.109372011163,4.8902940614E-05,-0.131977295612,,0.000119513127363,-0.592451206442,9.73475430519E-06
62000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0.000809673603201,-3.8082796743E-07,0.240212938605,,-1.41724901993E-06,-0.00415071428073,4.27511154906E-07,0.999991385747,,,0,0,0,,0,0,0,,0.117989738593,-3.31716498856E-05,-0.118850041497,,-0.000247918615766,-0.595993340536,0.000108233616614
63000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0.000930797101447,-2.94059056784E-07,0.240092533834,,-1.30157173959E-06,-0.00444312600965,4.45016355196E-07,0.999990129266,,,0,0,0,,0,0,0,,0.121048104396,7.88026238037E-05,-0.120335119961,,0.000197433927222,-0.584830623881,4.30083099428E-05
64000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0.00105809035145,-3.58544934615E-07,0.239985410251,,-1.50144395085E-06,-0.00473527864823,5.20607553272E-07,0.999988788504,,,0,0,0,,0,0,0,,0.129366276743,6.71128625936E-06,-0.106630164135,,-0.000176072034136,-0.587474980653,0.000180355245748
65000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0.0011890233225,-2.40999431199E-07,0.239873716167,,-1.35000569542E-06,-0.00502244754332,5.88504207451E-07,0.99998738743,,,0,0,0,,0,0,0,,0.130881426623,0.000113569605418,-0.111643294645,,0.000282158472841,-0.574340681538,0.000145103986
66000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0.00132575924613,-2.01742946003E-07,0.239773789055,,-1.27503771823E-06,-0.00531026714758,7.04808919004E-07,0.999985900431,,,0,0,0,,0,0,0,,0.135810795863,-6.31138763282E-06,-0.102036237007,,0.000218379876458,-0.573388332562,0.000101140838056
66000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0.00146116092341,-2.30357604478E-07,0.239663605359,,-8.05095269065E-07,-0.00558704286941,4.50715633739E-07,0.999984392354,,,0,0,0,,0,0,0,,0.135360175177,-3.41487059278E-05,-0.110137875123,,0.00092482361429,-0.553541703587,-0.000501989567984
68000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0.00159997041528,-5.93764170145E-07,0.239562108123,,-5.85263099274E-07,-0.00586196537725,-2.15830284462E-08,0.999982818533,,,0,0,0,,0,0,0,,0.138127685684,-0.000407934448474,-0.103033389886,,0.000544905084264,-0.548197869369,-0.00107494794324
69000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0.00173785467123,-9.18210547451E-07,0.239450851165,,7.75495456844E-08,-0.00612651313217,-6.90593429248E-07,0.999981232742,,,0,0,0,,0,0,0,,0.137848743539,-0.000329050701733,-0.111217506546,,0.00131935904237,-0.529092448072,-0.00133082687204
70000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0.00187806994763,-1.62652326517E-06,0.239346591055,,4.3658095958E-07,-0.00638800401678,-1.57878572976E-06,0.999979596493,,,0,0,0,,0,0,0,,0.13971581863,-0.000737072732273,-0.105364463483,,0.000784276407878,-0.52179179256,-0.00185679324349
71000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0.00201759689005,-2.26287532908E-06,0.239232997235,,1.19679952123E-06,-0.00663962131087,-2.59455472803E-06,0.999977957467,,,0,0,0,,0,0,0,,0.139495893863,-0.000639657564042,-0.113559824638,,0.00152262570465,-0.503235645292,-0.00202241408946
